"table_name","column_name","data_type"
"donations","id","integer"
"donations","user_id","integer"
"donations","amount","numeric"
"donations","created_at","timestamp with time zone"
"moods","id","integer"
"moods","user_id","integer"
"moods","mood","character varying"
"topic_updates","id","integer"
"topic_updates","user_id","integer"
"topic_updates","topic_id","integer"
"topic_updates","update_type","text"
"topic_updates","title","text"
"topic_updates","content","text"
"topic_updates","note","text"
"topic_updates","update_date","timestamp without time zone"
"topic_updates","ai_score","integer"
"topic_updates","user_adjust","integer"
"topic_updates","summary","text"
"topic_updates","included_in_summary","boolean"
"topic_updates","raw_filename","text"
"topics","id","integer"
"topics","user_id","integer"
"topics","topic_name","character varying"
"topics","description","text"
"topics","created_at","timestamp with time zone"
"traits","id","integer"
"traits","user_id","integer"
"traits","trait","character varying"
"traits","description","text"
"uma_files","id","integer"
"uma_files","user_id","integer"
"uma_files","file_name","character varying"
"uma_files","file_type","character varying"
"uma_files","generated_date","timestamp without time zone"
"uma_files","topics","ARRAY"
"uma_files","include_traits","boolean"
"uma_files","include_moods","boolean"
"uma_files","include_profile","boolean"
"uma_files","additional_notes","text"
"uma_generation_log","id","integer"
"uma_generation_log","user_id","integer"
"uma_generation_log","uma_file_id","integer"
"uma_generation_log","generated_at","timestamp without time zone"
"uma_generation_log","parameters","jsonb"
"user_chats","id","integer"
"user_chats","user_id","integer"
"user_chats","chat_title","character varying"
"user_chats","chat_text","text"
"user_chats","chat_summary","text"
"user_chats","chat_date","date"
"user_chats","tags","ARRAY"
"user_chats","metadata","json"
"user_chats","created_at","timestamp with time zone"
"user_chats","topic","ARRAY"
"user_chats","ai_score","integer"
"user_chats","user_adjust","integer"
"user_chats","note","text"
"user_profile","id","integer"
"user_profile","user_id","integer"
"user_profile","profile_key","character varying"
"user_profile","profile_value","text"
"user_profile","created_at","timestamp with time zone"
"user_topics","user_id","integer"
"user_topics","topic_name","character varying"
"user_topics","created_at","timestamp with time zone"
"user_topics","topic_id","integer"
"users","id","integer"
"users","username","character varying"
"users","email","character varying"
"users","password_hash","character varying"
"users","uma_db_path","character varying"
"users","signup_date","timestamp with time zone"
"users","last_login","timestamp with time zone"
"users","inject_files_created","integer"
"users","update_files_uploaded","integer"
"users","uma_expiration","timestamp without time zone"
"users","auto_renew","boolean"
"users","status_code","text"
"users","voucher_type","integer"
"users","current_login","timestamp with time zone"
